Senis comune,Senis comune.1
(IT) Senis (SC) Sènis,(IT) Senis (SC) Sènis
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Salvatore Soi (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,39°49′24.84″N 8°56′19.5″E
Altitudine,256 m s.l.m.
Superficie,"16,06 km²"
Abitanti,371[1] (30-11-2025)
Densità,"23,1 ab./km²"
Comuni confinanti,"Assolo, Asuni, Laconi, Nureci, Villa Sant'Antonio"
Altre informazioni,Altre informazioni
Cod. postale,09080
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095054
Cod. catastale,I609
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,"(IT) seniesi, senighesi (SC) senighesus"
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Senis,Senis
Senis – MappaPosizione del comune di Senis all'interno della provincia di Oristano,Senis – MappaPosizione del comune di Senis all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
