Ruinas comune,Ruinas comune.1
(IT) Ruinas (SC) Arruìnas,(IT) Ruinas (SC) Arruìnas
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Ignazio Giovanni Battista Tatti (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,39°54′22.72″N 8°53′49.38″E
Altitudine,359[1] m s.l.m.
Superficie,"30,46 km²"
Abitanti,570[2] (30-11-2025)
Densità,"18,71 ab./km²"
Comuni confinanti,"Allai, Asuni, Mogorella, Samugheo, Siamanna, Villa Sant'Antonio, Villaurbana"
Altre informazioni,Altre informazioni
Cod. postale,09085
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095044
Cod. catastale,F271
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Nome abitanti,(IT) ruinesi (SC) arruinesus
Patrono,san Giorgio Martire
Cartografia,Cartografia
Ruinas,Ruinas
Ruinas – MappaPosizione del comune di Ruinas all'interno della provincia di Oristano,Ruinas – MappaPosizione del comune di Ruinas all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
