Villa Verde comune,Villa Verde comune.1
(IT) Villa Verde (SC) Bàini,(IT) Villa Verde (SC) Bàini
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Sandro Marchi (lista civica) dal 10-6-2018 (2º mandato dal 29-5-2023)
Territorio,Territorio
Coordinate,39°47′44.44″N 8°49′12.79″E
Altitudine,204 m s.l.m.
Superficie,"17,65 km²"
Abitanti,258[1] (30-11-2025)
Densità,"14,62 ab./km²"
Comuni confinanti,"Ales, Palmas Arborea, Pau, Usellus, Villaurbana"
Altre informazioni,Altre informazioni
Cod. postale,09090
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095073
Cod. catastale,A609
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) villaverdini (SC) bainesus
Cartografia,Cartografia
Villa Verde,Villa Verde
Villa Verde – MappaPosizione del comune di Villa Verde all'interno della provincia di Oristano,Villa Verde – MappaPosizione del comune di Villa Verde all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
