Santu Lussurgiu comune,Santu Lussurgiu comune.1
(IT) Santu Lussùrgiu (SC) Santu Lussùrzu,(IT) Santu Lussùrgiu (SC) Santu Lussùrzu
,
Santu Lussurgiu – Veduta,Santu Lussurgiu – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Diego Loi (lista civica) dal 31-5-2015 (2º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,40°08′31″N 8°39′07″E
Altitudine,503 m s.l.m.
Superficie,"99,8 km²"
Abitanti,2 151[1] (30-11-2025)
Densità,"21,55 ab./km²"
Frazioni,San Leonardo di Siete Fuentes
Comuni confinanti,"Abbasanta, Bonarcado, Borore (NU), Cuglieri, Norbello, Paulilatino, Scano di Montiferro, Seneghe"
Altre informazioni,Altre informazioni
Lingue,Sardo
Cod. postale,09075
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095049
Cod. catastale,I374
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 684 GG[3]"
Nome abitanti,(IT) lussurgesi (SC) lussurzesos
Patrono,san Lussorio
Giorno festivo,21 agosto
Cartografia,Cartografia
Santu Lussurgiu,Santu Lussurgiu
Santu Lussurgiu – MappaPosizione del comune di Santu Lussurgiu all'interno della provincia di Oristano,Santu Lussurgiu – MappaPosizione del comune di Santu Lussurgiu all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
