Pau comune,Pau comune.1
"(IT, SC) Pàu","(IT, SC) Pàu"
,
Pau – VedutaChiesa S. Giorgio,Pau – VedutaChiesa S. Giorgio
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Alessia Valente (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,39°47′29.96″N 8°48′06.05″E
Altitudine,315 m s.l.m.
Superficie,"13,82 km²"
Abitanti,269[1] (30-11-2025)
Densità,"19,46 ab./km²"
Comuni confinanti,"Ales, Palmas Arborea, Santa Giusta, Villa Verde"
Altre informazioni,Altre informazioni
Cod. postale,09090
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095040
Cod. catastale,G379
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) pauesi (SC) pauesus
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Pau,Pau
Pau – MappaPosizione del comune di Pau all'interno della provincia di Oristano,Pau – MappaPosizione del comune di Pau all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
