Santa Giusta comune,Santa Giusta comune.1
(IT) Santa Giusta (SC) Santa Justa,(IT) Santa Giusta (SC) Santa Justa
,
"Santa Giusta – VedutaBasilica di Santa Giusta, facciata","Santa Giusta – VedutaBasilica di Santa Giusta, facciata"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Andrea Casu (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,39°52′50.52″N 8°36′32.98″E
Altitudine,10 m s.l.m.
Superficie,"69,22 km²"
Abitanti,4 560[1] (30-11-2025)
Densità,"65,88 ab./km²"
Frazioni,"Cirras, Corte Baccas"
Comuni confinanti,"Ales, Arborea, Marrubiu, Morgongiori, Oristano, Palmas Arborea, Pau"
Altre informazioni,Altre informazioni
Cod. postale,09096
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095047
Cod. catastale,I205
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) santagiustesi (SC) santajustesus
Patrono,santa Giusta
Giorno festivo,14 maggio
Cartografia,Cartografia
Santa Giusta,Santa Giusta
Santa Giusta – MappaPosizione del comune di Santa Giusta all'interno della provincia di Oristano,Santa Giusta – MappaPosizione del comune di Santa Giusta all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
