Siris comune,Siris comune.1
"(IT, SC) Sìris","(IT, SC) Sìris"
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Emanuele Pilloni (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,39°42′44.53″N 8°46′28.71″E
Altitudine,161 m s.l.m.
Superficie,6 km²
Abitanti,228[1] (30-11-2025)
Densità,38 ab./km²
Comuni confinanti,"Masullas, Morgongiori, Pompu"
Altre informazioni,Altre informazioni
Cod. postale,09090
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095061
Cod. catastale,I757
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) siresi (SC) siresus
Cartografia,Cartografia
Siris,Siris
Siris – MappaPosizione del comune di Siris all'interno della provincia di Oristano,Siris – MappaPosizione del comune di Siris all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
