Sini comune,Sini comune.1
"(IT, SC) Sìni","(IT, SC) Sìni"
,
Sini – Veduta,Sini – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Andrea Carracoi (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,39°45′14.23″N 8°54′22.09″E
Altitudine,255 m s.l.m.
Superficie,"8,75 km²"
Abitanti,510[1] (30-11-2025)
Densità,"58,29 ab./km²"
Comuni confinanti,"Baradili, Genoni (CA), Genuri (VS), Gonnosnò"
Altre informazioni,Altre informazioni
Cod. postale,09090
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095060
Cod. catastale,I749
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) sinesi (SC) sinesus
Patrono,santa Chiara
Giorno festivo,12 agosto
Cartografia,Cartografia
Sini,Sini
Sini – MappaPosizione del comune di Sini all'interno della provincia di Oristano,Sini – MappaPosizione del comune di Sini all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
