Uras comune,Uras comune.1
(IT) Uras (SC) Ùras,(IT) Uras (SC) Ùras
,
Uras – Veduta,Uras – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Samuele Fenu (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,39°41′53.54″N 8°42′05.45″E
Altitudine,23 m s.l.m.
Superficie,"39,24 km²"
Abitanti,2 599[1] (30-11-2025)
Densità,"66,23 ab./km²"
Comuni confinanti,"Marrubiu, Masullas, Mogoro, Morgongiori, San Nicolò d'Arcidano, Terralba"
Altre informazioni,Altre informazioni
Cod. postale,09099
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095069
Cod. catastale,L496
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) uresi (SC) uresus
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Uras,Uras
Uras – MappaPosizione del comune di Uras all'interno della provincia di Oristano,Uras – MappaPosizione del comune di Uras all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
