Riola Sardo comune,Riola Sardo comune.1
(IT) Riola Sardo (SC) Arriòra,(IT) Riola Sardo (SC) Arriòra
,
Riola Sardo – Veduta,Riola Sardo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Lorenzo Pinna (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,39°59′38″N 8°32′30″E
Altitudine,9 m s.l.m.
Superficie,"48,11 km²"
Abitanti,1 958[1] (30-11-2025)
Densità,"40,7 ab./km²"
Comuni confinanti,"Baratili San Pietro, Cabras, Narbolia, Nurachi, San Vero Milis"
Altre informazioni,Altre informazioni
Cod. postale,09070
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095043
Cod. catastale,H301
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) riolesi (SC) arrioresus
Patrono,"san Martino, sant'Anna"
Giorno festivo,"11 novembre, 26 luglio"
Cartografia,Cartografia
Riola Sardo,Riola Sardo
Riola Sardo – MappaPosizione del comune di Riola Sardo all'interno della provincia di Oristano,Riola Sardo – MappaPosizione del comune di Riola Sardo all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
