San Vero Milis comune,San Vero Milis comune.1
(IT) San Vero Mìlis (SC) Santeru,(IT) San Vero Mìlis (SC) Santeru
,
San Vero Milis – VedutaChiesa di Santa Sofia,San Vero Milis – VedutaChiesa di Santa Sofia
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Luigi Tedeschi (lista civica) dal 31-5-2015 (2º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,40°00′47″N 8°35′55″E
Altitudine,10 m s.l.m.
Superficie,"72,48 km²"
Abitanti,2 421[1] (30-11-2025)
Densità,"33,4 ab./km²"
Frazioni,"Capo Mannu, Mandriola, Putzu Idu, S'Arena Scoada, Sa Rocca Tunda, Su Pallosu"
Comuni confinanti,"Baratili San Pietro, Milis, Narbolia, Riola Sardo, Seneghe, Tramatza, Zeddiani"
Altre informazioni,Altre informazioni
Cod. postale,09070
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095050
Cod. catastale,I384
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) sanveresi (SC) santeresus
Patrono,santa Sofia V.M.
Giorno festivo,17 giugno
Cartografia,Cartografia
San Vero Milis,San Vero Milis
San Vero Milis – MappaPosizione del comune di San Vero Milis all'interno della provincia di Oristano,San Vero Milis – MappaPosizione del comune di San Vero Milis all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
