Siamanna comune,Siamanna comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Franco Vellio Melas (lista civica) dal 28-5-2007 (4º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,39°55′09.65″N 8°45′44.99″E
Altitudine,49[1] m s.l.m.
Superficie,"28,36 km²"
Abitanti,737[2] (30-11-2025)
Densità,"25,99 ab./km²"
Frazioni,Pranixeddu
Comuni confinanti,"Ruinas, Siapiccia, Allai, Villaurbana, Simaxis"
Altre informazioni,Altre informazioni
Cod. postale,09080
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095057
Cod. catastale,I718
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Nome abitanti,(IT) siamannesi (SC) siamannesus
Patrono,santa Lucia
Giorno festivo,22 agosto
Cartografia,Cartografia
Siamanna,Siamanna
Siamanna – MappaPosizione del comune di Siamanna all'interno della provincia di Oristano,Siamanna – MappaPosizione del comune di Siamanna all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
