Sagama comune,Sagama comune.1
(IT) Sagama (SC) Sàgama,(IT) Sagama (SC) Sàgama
,
Sagama – Veduta,Sagama – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Giovanniantonio Cuccui (lista civica) dal 28-5-2007 (4º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,40°15′40.4″N 8°34′39.43″E
Altitudine,347 m s.l.m.
Superficie,"11,72 km²"
Abitanti,186[1] (30-11-2025)
Densità,"15,87 ab./km²"
Comuni confinanti,"Flussio, Scano di Montiferro, Sindia (NU), Suni, Tinnura"
Altre informazioni,Altre informazioni
Cod. postale,09090
Prefisso,0785
Fuso orario,UTC+1
Codice ISTAT,095086
Cod. catastale,H661
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) sagamesi (SC) sagamesos
Patrono,Arcangelo Gabriele
Cartografia,Cartografia
Sagama,Sagama
Sagama – MappaPosizione del comune di Sagama all'interno della provincia di Oristano,Sagama – MappaPosizione del comune di Sagama all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
