Soddì comune,Soddì comune.1
(IT) Soddì (SC) Soddìe,(IT) Soddì (SC) Soddìe
,
Soddì – Veduta,Soddì – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Francesco Mascia (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,40°07′47″N 8°52′41″E
Altitudine,250 m s.l.m.
Superficie,"5,24 km²"
Abitanti,115[1] (30-11-2025)
Densità,"21,95 ab./km²"
Comuni confinanti,"Aidomaggiore, Boroneddu, Ghilarza"
Altre informazioni,Altre informazioni
Cod. postale,09080
Prefisso,0785
Fuso orario,UTC+1
Codice ISTAT,095078
Cod. catastale,I778
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) soddiesi (SC) soddiesos
Cartografia,Cartografia
Soddì,Soddì
Soddì – MappaPosizione del comune di Soddì all'interno della provincia di Oristano,Soddì – MappaPosizione del comune di Soddì all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
