Samugheo comune,Samugheo comune.1
"(IT, SC) Samugheo","(IT, SC) Samugheo"
,
Samugheo – VedutaChiesa di San Basilio,Samugheo – VedutaChiesa di San Basilio
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Basilio Patta (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,39°56′51.41″N 8°56′26.76″E
Altitudine,370[1] m s.l.m.
Superficie,"81,28 km²"
Abitanti,2 638[2] (30-11-2025)
Densità,"32,46 ab./km²"
Comuni confinanti,"Allai, Asuni, Atzara (NU), Busachi, Laconi, Meana Sardo (NU), Ortueri (NU), Ruinas, Sorgono (NU)"
Altre informazioni,Altre informazioni
Cod. postale,09086
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095045
Cod. catastale,H756
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Nome abitanti,(IT) samughesi (SC) samughesos
Patrono,san Sebastiano
Cartografia,Cartografia
Samugheo,Samugheo
Samugheo – MappaPosizione del comune di Samugheo all'interno della provincia di Oristano,Samugheo – MappaPosizione del comune di Samugheo all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
