Bidonì comune,Bidonì comune.1
(IT) Bidonì (SC) Bidonìu,(IT) Bidonì (SC) Bidonìu
,
Bidonì – Veduta,Bidonì – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Ilaria Sedda (lista civica) dal 31-5-2015 (2º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,40°06′46″N 8°56′11″E
Altitudine,250 m s.l.m.
Superficie,"11,72 km²"
Abitanti,113[1] (30-11-2025)
Densità,"9,64 ab./km²"
Comuni confinanti,"Ghilarza (isola amministrativa di Zuri), Nughedu Santa Vittoria, Sedilo, Sorradile"
Altre informazioni,Altre informazioni
Cod. postale,09080
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095014
Cod. catastale,A856
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) bidoniesi (SC) bidoniesos
Patrono,Giovanni Battista
Cartografia,Cartografia
Bidonì,Bidonì
Bidonì – MappaPosizione del comune di Bidonì all'interno della provincia di Oristano,Bidonì – MappaPosizione del comune di Bidonì all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
