Suni comune,Suni comune.1
(IT) Sùni (SC) Sùne,(IT) Sùni (SC) Sùne
,
Suni – VedutaVia del paese,Suni – VedutaVia del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Massimo Falchi (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°16′51.01″N 8°33′00.71″E
Altitudine,340 m s.l.m.
Superficie,"47,46 km²"
Abitanti,971[1] (30-11-2025)
Densità,"20,46 ab./km²"
Comuni confinanti,"Bosa, Flussio, Modolo, Pozzomaggiore (SS), Sagama, Sindia (NU), Tinnura"
Altre informazioni,Altre informazioni
Cod. postale,09090
Prefisso,0785
Fuso orario,UTC+1
Codice ISTAT,095087
Cod. catastale,L006
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) sunesi (SC) sunesos
Patrono,Santa Maria della Neve
Giorno festivo,5 agosto[3]
Cartografia,Cartografia
Suni,Suni
Suni – MappaPosizione del comune di Suni all'interno della provincia di Oristano,Suni – MappaPosizione del comune di Suni all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
