Siapiccia comune,Siapiccia comune.1
(IT) Siapiccia (SC) Siapicìa,(IT) Siapiccia (SC) Siapicìa
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Raimondo Deidda (lista civica) dal 30-5-2010 (3º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,39°55′38.8″N 8°45′44.22″E
Altitudine,64[1] m s.l.m.
Superficie,"17,93 km²"
Abitanti,335[2] (30-11-2025)
Densità,"18,68 ab./km²"
Comuni confinanti,"Allai, Fordongianus, Ollastra, Siamanna, Simaxis"
Altre informazioni,Altre informazioni
Cod. postale,09084
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095076
Cod. catastale,I721
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Nome abitanti,(IT) siapiccesi (SC) siapicesus
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Siapiccia,Siapiccia
Siapiccia – MappaPosizione del comune di Siapiccia all'interno della provincia di Oristano,Siapiccia – MappaPosizione del comune di Siapiccia all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
