Pompu comune,Pompu comune.1
(IT) Pompu (SC) Pòmpu,(IT) Pompu (SC) Pòmpu
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Moreno Atzei (lista civica) dal 10-6-2018 (2º mandato dal 29-5-2023)
Territorio,Territorio
Coordinate,39°43′29.27″N 8°47′46.31″E
Altitudine,147 m s.l.m.
Superficie,"5,32 km²"
Abitanti,217[1] (30-11-2025)
Densità,"40,79 ab./km²"
Comuni confinanti,"Curcuris, Masullas, Morgongiori, Simala, Siris"
Altre informazioni,Altre informazioni
Cod. postale,09093
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095042
Cod. catastale,G817
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) pompesi (SC) pompesus
Cartografia,Cartografia
Pompu,Pompu
Pompu – MappaPosizione del comune di Pompu all'interno della provincia di Oristano,Pompu – MappaPosizione del comune di Pompu all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
