Nughedu Santa Vittoria comune,Nughedu Santa Vittoria comune.1
(IT) Nughedu Santa Vittoria (SC) Nughèdu Santa 'Itòria,(IT) Nughedu Santa Vittoria (SC) Nughèdu Santa 'Itòria
(dettagli)  (dettagli),(dettagli)  (dettagli)
Nughedu Santa Vittoria – VedutaLa chiesa parrocchiale,Nughedu Santa Vittoria – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Vanessa Corda (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,40°06′04″N 8°57′05″E
Altitudine,533 m s.l.m.
Superficie,"28,57 km²"
Abitanti,423[1] (30-11-2025)
Densità,"14,81 ab./km²"
Comuni confinanti,"Ardauli, Austis (NU), Bidonì, Neoneli, Olzai (NU), Sorradile"
Altre informazioni,Altre informazioni
Cod. postale,09080
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095034
Cod. catastale,F974
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) nughedesi (SC) nughedesos
Patrono,san Giacomo
Cartografia,Cartografia
Nughedu Santa Vittoria,Nughedu Santa Vittoria
Nughedu Santa Vittoria – MappaPosizione del comune di Nughedu Santa Vittoria all'interno della provincia di Oristano,Nughedu Santa Vittoria – MappaPosizione del comune di Nughedu Santa Vittoria all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
