Baradili comune,Baradili comune.1
(IT) Baradili (SC) Bobàdri,(IT) Baradili (SC) Bobàdri
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Maria Anna Camedda (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,39°43′19.8″N 8°53′51.5″E
Altitudine,165 m s.l.m.
Superficie,"5,57 km²"
Abitanti,80[1] (30-11-2025)
Densità,"14,36 ab./km²"
Comuni confinanti,"Baressa, Genuri (VS), Gonnosnò, Sini, Turri (VS), Ussaramanna (VS)"
Altre informazioni,Altre informazioni
Cod. postale,09090
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095010
Cod. catastale,A614
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) baradilesi (SC) bobadriesus
Patrono,santa Margherita
Giorno festivo,20 luglio
Cartografia,Cartografia
Baradili,Baradili
Baradili – MappaPosizione del comune di Baradili all'interno della provincia di Oristano,Baradili – MappaPosizione del comune di Baradili all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
