Zeddiani comune,Zeddiani comune.1
(IT) Zeddiàni (SC) Tzeddiàni,(IT) Zeddiàni (SC) Tzeddiàni
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Claudio Pinna (lista civica) dal 31-5-2015 (2º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,39°59′22″N 8°35′44″E
Altitudine,10 m s.l.m.
Superficie,"11,81 km²"
Abitanti,1 111[1] (30-11-2025)
Densità,"94,07 ab./km²"
Frazioni,Borgata Etfas Santa Lucia
Comuni confinanti,"Baratili San Pietro, Oristano, San Vero Milis, Siamaggiore, Tramatza"
Altre informazioni,Altre informazioni
Cod. postale,09070
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095074
Cod. catastale,M153
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) zeddianesi (SC) tzeddianesus
Patrono,San Pietro
Cartografia,Cartografia
Zeddiani,Zeddiani
Zeddiani – MappaPosizione del comune di Zeddiani all'interno della provincia di Oristano,Zeddiani – MappaPosizione del comune di Zeddiani all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
