Bonarcado comune,Bonarcado comune.1
,
Bonarcado – Veduta,Bonarcado – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Annalisa Mele (Riformatori Sardi[1]) dall'11-10-2021
Territorio,Territorio
Coordinate,40°06′N 8°39′E
Altitudine,284 m s.l.m.
Superficie,"28,41 km²"
Abitanti,1 521[2] (30-11-2025)
Densità,"53,54 ab./km²"
Comuni confinanti,"Bauladu, Milis, Paulilatino, Santu Lussurgiu, Seneghe"
Altre informazioni,Altre informazioni
Cod. postale,09070
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095015
Cod. catastale,A960
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Nome abitanti,(IT) bonarcadesi (SC) bonarcadesos
Patrono,san Romualdo
Giorno festivo,7 febbraio
Cartografia,Cartografia
Bonarcado,Bonarcado
Bonarcado – MappaPosizione del comune di Bonarcado all'interno della provincia di Oristano,Bonarcado – MappaPosizione del comune di Bonarcado all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
