Curcuris comune,Curcuris comune.1
(IT) Curcuris (SC) Crucuris,(IT) Curcuris (SC) Crucuris
,
Curcuris – Veduta,Curcuris – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Raffaele Salvatore Pilloni (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,39°44′47.98″N 8°49′50.95″E
Altitudine,159 m s.l.m.
Superficie,"7,18 km²"
Abitanti,289[1] (30-11-2025)
Densità,"40,25 ab./km²"
Comuni confinanti,"Ales, Gonnosnò, Morgongiori, Pompu, Simala"
Altre informazioni,Altre informazioni
Cod. postale,09090
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095077
Cod. catastale,D214
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) curcuresi (SC) crucuresus
Cartografia,Cartografia
Curcuris,Curcuris
Curcuris – MappaPosizione del comune di Curcuris all'interno della provincia di Oristano,Curcuris – MappaPosizione del comune di Curcuris all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
