San Nicolò d'Arcidano comune,San Nicolò d'Arcidano comune.1
(IT) San Nicolò d'Arcidàno (SC) Arcidànu,(IT) San Nicolò d'Arcidàno (SC) Arcidànu
,
San Nicolò d'Arcidano – VedutaChiesa di San Nicolò,San Nicolò d'Arcidano – VedutaChiesa di San Nicolò
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Davide Fanari (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,39°41′00.75″N 8°38′47.7″E
Altitudine,13 m s.l.m.
Superficie,"28,36 km²"
Abitanti,2 402[1] (30-11-2025)
Densità,"84,7 ab./km²"
Comuni confinanti,"Guspini (VS), Mogoro, Pabillonis (VS), Terralba, Uras"
Altre informazioni,Altre informazioni
Cod. postale,09097
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095046
Cod. catastale,A368
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) arcidanesi (SC) arcidanesus
Patrono,san Nicola di Bari
Giorno festivo,10 settembre[3]
Soprannome,"Gli abitanti del luogo sono noti come ""Tostoniusu"", che in Sardo significa ""Tartarughe"", tant'è che nella piazza del paese è presente una statua raffigurante l'omonimo animale."
Cartografia,Cartografia
San Nicolò d'Arcidano,San Nicolò d'Arcidano
San Nicolò d'Arcidano – MappaPosizione del comune di San Nicolò d'Arcidano all'interno della provincia di Oristano,San Nicolò d'Arcidano – MappaPosizione del comune di San Nicolò d'Arcidano all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
