Ula Tirso comune,Ula Tirso comune.1
(IT) Ula Tirso (SC) Ula,(IT) Ula Tirso (SC) Ula
,
Ula Tirso – Veduta,Ula Tirso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Danilo Cossu (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°02′42.81″N 8°54′12.97″E
Altitudine,348 m s.l.m.
Superficie,"18,85 km²"
Abitanti,445[1] (30-11-2025)
Densità,"23,61 ab./km²"
Comuni confinanti,"Ardauli, Busachi, Ghilarza, Neoneli, Ortueri (NU)"
Altre informazioni,Altre informazioni
Cod. postale,09080
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095068
Cod. catastale,L488
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) ulesi (SC) ulesos
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Ula Tirso,Ula Tirso
Ula Tirso – MappaPosizione del comune di Ula Tirso all'interno della provincia di Oristano,Ula Tirso – MappaPosizione del comune di Ula Tirso all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
