Scano di Montiferro comune,Scano di Montiferro comune.1
(IT) Scano di Montiferro (SC) Iscànu,(IT) Scano di Montiferro (SC) Iscànu
,
Scano di Montiferro – Veduta,Scano di Montiferro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Antonio Flore (lista civica) dal 6-6-2016 (2º mandato dall'11-10-2021)
Territorio,Territorio
Coordinate,40°12′54.46″N 8°35′14.34″E
Altitudine,385 m s.l.m.
Superficie,"60,47 km²"
Abitanti,1 359[1] (30-11-2025)
Densità,"22,47 ab./km²"
Comuni confinanti,"Borore (NU), Cuglieri, Flussio, Macomer (NU), Sagama, Santu Lussurgiu, Sennariolo, Sindia (NU)"
Altre informazioni,Altre informazioni
Cod. postale,09078
Prefisso,0785
Fuso orario,UTC+1
Codice ISTAT,095051
Cod. catastale,I503
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) scanesi (SC) iscanesos
Patrono,san Pietro Apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Scano di Montiferro,Scano di Montiferro
Scano di Montiferro – MappaPosizione del comune di Scano di Montiferro all'interno della provincia di Oristano,Scano di Montiferro – MappaPosizione del comune di Scano di Montiferro all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
