Villa Sant'Antonio comune,Villa Sant'Antonio comune.1
(IT) Villa Sant'Antònio (SC) Sant'Antòni,(IT) Villa Sant'Antònio (SC) Sant'Antòni
,
Villa Sant'Antonio – Veduta,Villa Sant'Antonio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Fabiano Frongia (lista civica) dal 31-5-2015 (2º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,39°51′31.89″N 8°54′05.09″E
Altitudine,249 m s.l.m.
Superficie,"19,05 km²"
Abitanti,315[1] (30-11-2025)
Densità,"16,54 ab./km²"
Comuni confinanti,"Albagiara, Assolo, Asuni, Mogorella, Ruinas, Senis"
Altre informazioni,Altre informazioni
Cod. postale,09080
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095048
Cod. catastale,I298
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) santantonesi (SC) santantonesus
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Villa Sant'Antonio,Villa Sant'Antonio
Villa Sant'Antonio – MappaPosizione del comune di Villa Sant'Antonio all'interno della provincia di Oristano,Villa Sant'Antonio – MappaPosizione del comune di Villa Sant'Antonio all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
