Bauladu comune,Bauladu comune.1
"(IT, SC) Bauladu","(IT, SC) Bauladu"
,
Bauladu – Veduta,Bauladu – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Ignazio Zara (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,40°01′13.5″N 8°40′18.7″E
Altitudine,38 m s.l.m.
Superficie,"24,22 km²"
Abitanti,618[1] (30-11-2025)
Densità,"25,52 ab./km²"
Comuni confinanti,"Bonarcado, Milis, Paulilatino, Solarussa, Tramatza"
Altre informazioni,Altre informazioni
Cod. postale,09070
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095013
Cod. catastale,A721
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) bauladesi (SC) bauladesus
Patrono,Gregorio Magno
Cartografia,Cartografia
Bauladu,Bauladu
Bauladu – MappaPosizione del comune di Bauladu all'interno della provincia di Oristano,Bauladu – MappaPosizione del comune di Bauladu all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
