Allai comune,Allai comune.1
"(IT, SC) Àllai","(IT, SC) Àllai"
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Antonio Pili (lista civica) dal 31-5-2015 (2º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,39°57′25.2″N 8°51′50.22″E
Altitudine,60 m s.l.m.
Superficie,"27,36 km²"
Abitanti,332[1] (30-11-2025)
Densità,"12,13 ab./km²"
Comuni confinanti,"Busachi, Fordongianus, Ruinas, Samugheo, Siamanna, Siapiccia, Villaurbana"
Altre informazioni,Altre informazioni
Cod. postale,09080
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095005
Cod. catastale,A204
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 969 GG[3]"
Nome abitanti,(IT) allaesi (SC) allaesus
Patrono,Spirito santo
Giorno festivo,16 maggio
Cartografia,Cartografia
Allai,Allai
Allai – MappaPosizione del comune di Allai all'interno della provincia di Oristano,Allai – MappaPosizione del comune di Allai all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
