Usellus comune,Usellus comune.1
(IT) Usèllus (SC) Usèddus,(IT) Usèllus (SC) Usèddus
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Oristano
Amministrazione,Amministrazione
Sindaco,Fabrizio Cao (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,39°48′27.41″N 8°51′08.66″E
Altitudine,289[1] m s.l.m.
Superficie,"35,07 km²"
Abitanti,666[2] (30-11-2025)
Densità,"18,99 ab./km²"
Frazioni,Escovedu
Comuni confinanti,"Albagiara, Ales, Gonnosnò, Mogorella, Villa Verde, Villaurbana"
Altre informazioni,Altre informazioni
Cod. postale,09090
Prefisso,0783
Fuso orario,UTC+1
Codice ISTAT,095070
Cod. catastale,L508
Targa,OR
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Nome abitanti,(IT) usellesi (SC) useddesus
Cartografia,Cartografia
Usellus,Usellus
Usellus – MappaPosizione del comune di Usellus all'interno della provincia di Oristano,Usellus – MappaPosizione del comune di Usellus all'interno della provincia di Oristano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
