Givoletto comune,Givoletto comune.1
,
Givoletto – VedutaChiesa Parrocchiale San Secondo,Givoletto – VedutaChiesa Parrocchiale San Secondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Azzurra Mulatero (lista civica) dall'11-6-2015
Territorio,Territorio
Coordinate,45°09′44.09″N 7°29′47.1″E
Altitudine,398 m s.l.m.
Superficie,"12,82 km²"
Abitanti,4 071[1] (30-11-2025)
Densità,"317,55 ab./km²"
Frazioni,"Borgonuovo, Bogialla, Rivasacco, Forvilla, Santa Maria, Centro (Canton Mosca), Regione Imai, Marchesa"
Comuni confinanti,"La Cassa, San Gillio, Val della Torre, Varisella"
Altre informazioni,Altre informazioni
Cod. postale,10040
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001116
Cod. catastale,E067
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 951 GG[3]"
Nome abitanti,givolettesi
Patrono,san Secondo
Giorno festivo,26 agosto
Cartografia,Cartografia
Givoletto,Givoletto
Givoletto – MappaLocalizzazione del comune di Givoletto nella città metropolitana di Torino.,Givoletto – MappaLocalizzazione del comune di Givoletto nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
