Corio comune,Corio comune.1
,
Corio – VedutaPonte sul Malone al Molino dell'Avvocato,Corio – VedutaPonte sul Malone al Molino dell'Avvocato
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Sergio Motta (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°18′48.6″N 7°31′55.51″E
Altitudine,625 m s.l.m.
Superficie,"41,49 km²"
Abitanti,3 099[1] (30-11-2025)
Densità,"74,69 ab./km²"
Frazioni,"Benne, Case Abate, Case Calvet, Case Vergone, Colle Forcola, Colle Secchie, Cudine, Piano Audi, Ritornato, San Pietro, Sant'Antonio, Vilà"
Comuni confinanti,"Balangero, Coassolo Torinese, Forno Canavese, Grosso, Locana, Mathi, Nole, Pratiglione, Rocca Canavese, Sparone"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001094
Cod. catastale,D008
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 291 GG[3]"
Nome abitanti,coriesi
Patrono,San Genesio martire e Sant'Anna
Giorno festivo,ultima domenica di luglio
Cartografia,Cartografia
Corio,Corio
Corio – MappaLocalizzazione del comune di Corio nella città metropolitana di Torino.,Corio – MappaLocalizzazione del comune di Corio nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
