Rosta comune,Rosta comune.1
,
Rosta – VedutaPanorama,Rosta – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Domenico Morabito (lista civica) dall'11-6-2017
Territorio,Territorio
Coordinate,45°04′04.6″N 7°27′54.42″E
Altitudine,399 m s.l.m.
Superficie,"9,07 km²"
Abitanti,5 084[1] (30-11-2025)
Densità,"560,53 ab./km²"
Frazioni,"Ponata, Ranverso"
Comuni confinanti,"Buttigliera Alta, Caselette, Reano, Rivoli, Villarbasse"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001228
Cod. catastale,H583
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 952 GG[3]"
Nome abitanti,rostesi
Patrono,san Michele Arcangelo
Cartografia,Cartografia
Rosta,Rosta
Rosta – MappaLocalizzazione del comune di Rosta nella città metropolitana di Torino.,Rosta – MappaLocalizzazione del comune di Rosta nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
