Caprie comune,Caprie comune.1
,
Caprie – VedutaIl centro comunale visto dal Truc del Serro,Caprie – VedutaIl centro comunale visto dal Truc del Serro
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Gian Andrea Torasso (lista civica Vivere Caprie) dal 27-5-2019
Territorio,Territorio
Coordinate,45°07′07.84″N 7°19′54.89″E
Altitudine,"374 (min 349 - max 1,923) m s.l.m."
Superficie,"16,41 km²"
Abitanti,2 018[1] (30-11-2025)
Densità,"122,97 ab./km²"
Frazioni,"Campambiardo, Celle, Novaretto, Peroldrado"
Comuni confinanti,"Chiusa di San Michele, Condove, Rubiana, Sant'Ambrogio di Torino, Villar Dora"
Altre informazioni,Altre informazioni
Cod. postale,10040
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001055
Cod. catastale,B705
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 915 GG[3]"
Nome abitanti,capriesi
Patrono,Madonna del Carmelo
Giorno festivo,16 luglio
Cartografia,Cartografia
Caprie,Caprie
Caprie – MappaLocalizzazione del comune di Caprie nella città metropolitana di Torino.,Caprie – MappaLocalizzazione del comune di Caprie nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
