Vestignè comune,Vestignè comune.1
,
Vestignè – VedutaVeduta Chiesa Parrocchiale,Vestignè – VedutaVeduta Chiesa Parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Alessandro Aibino (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°23′N 7°57′E
Altitudine,235 m s.l.m.
Superficie,"12,07 km²"
Abitanti,754[1] (30-11-2025)
Densità,"62,47 ab./km²"
Frazioni,Tina
Comuni confinanti,"Albiano d'Ivrea, Borgomasino, Caravino, Cossano Canavese, Strambino, Vische"
Altre informazioni,Altre informazioni
Cod. postale,10030
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001295
Cod. catastale,L811
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 710 GG[3]"
Nome abitanti,vestignesi
Patrono,san Germano[quale?]
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Vestignè,Vestignè
Vestignè – MappaLocalizzazione del Comune di Vestignè nella Città metropolitana di Torino.,Vestignè – MappaLocalizzazione del Comune di Vestignè nella Città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
