Cinzano comune,Cinzano comune.1
,
Cinzano – VedutaVeduta del castello,Cinzano – VedutaVeduta del castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Emilio Longo (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°05′40.6″N 7°55′26.27″E
Altitudine,495 m s.l.m.
Superficie,"6,2 km²"
Abitanti,337[1] (30-11-2025)
Densità,"54,35 ab./km²"
Comuni confinanti,"Berzano di San Pietro (AT), Casalborgone, Moncucco Torinese (AT), Rivalba, Sciolze"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001085
Cod. catastale,C715
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 096 GG[3]"
Nome abitanti,cinzanesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Cinzano,Cinzano
Cinzano – MappaLocalizzazione del comune di Cinzano nella città metropolitana di Torino,Cinzano – MappaLocalizzazione del comune di Cinzano nella città metropolitana di Torino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
