Buttigliera Alta comune,Buttigliera Alta comune.1
,
Buttigliera Alta – VedutaPanorama dal Monte Musinè,Buttigliera Alta – VedutaPanorama dal Monte Musinè
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Alfredo Cimarella (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°04′07.69″N 7°26′04.16″E
Altitudine,414 m s.l.m.
Superficie,"8,1 km²"
Abitanti,6 230[1] (30-11-2025)
Densità,"769,14 ab./km²"
Frazioni,Ferriera
Comuni confinanti,"Avigliana, Caselette, Reano, Rosta"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001045
Cod. catastale,B305
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 975 GG[3]"
Nome abitanti,buttiglieresi
Patrono,san Marco
Giorno festivo,25 aprile
Cartografia,Cartografia
Buttigliera Alta,Buttigliera Alta
Buttigliera Alta – MappaLocalizzazione del comune di Buttigliera Alta nella città metropolitana di Torino.,Buttigliera Alta – MappaLocalizzazione del comune di Buttigliera Alta nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
