Chialamberto comune,Chialamberto comune.1
,
Chialamberto – VedutaPanorama,Chialamberto – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Città metropolitana di Torino
Amministrazione,Amministrazione
Sindaco,Gabriele Castellini (lista civica Chialamberto Insieme per il Futuro) dal 9-5-2023
Territorio,Territorio
Coordinate,45°21′49.21″N 7°20′29.3″E
Altitudine,"875 (min 804 - max 2,908) m s.l.m."
Superficie,"35,45 km²"
Abitanti,335[1] (30-11-2025)
Densità,"9,45 ab./km²"
Frazioni,"Breno, Bussoni, Candiela, Cossiglia, Gabbi, Inverso, Mottera, Pianardi, Prati della Via, Valnera, Volpetta, Vonzo"
Comuni confinanti,"Ala di Stura, Cantoira, Ceres, Groscavallo, Locana, Noasca"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,0123
Fuso orario,UTC+1
Codice ISTAT,001075
Cod. catastale,C604
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 630 GG[3]"
Nome abitanti,chialambertesi
Patrono,San Filippo e San Giacomo
Cartografia,Cartografia
Chialamberto,Chialamberto
Chialamberto – MappaLocalizzazione del comune di Chialamberto nella città metropolitana di Torino.,Chialamberto – MappaLocalizzazione del comune di Chialamberto nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
