Cavagnolo comune,Cavagnolo comune.1
,
Cavagnolo – VedutaLa facciata della Chiesa di San Secondo al Cimitero.,Cavagnolo – VedutaLa facciata della Chiesa di San Secondo al Cimitero.
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Andrea Gavazza (lista civica Adesso! Cavagnolo) dal 12-6-2017
Territorio,Territorio
Coordinate,45°09′07.69″N 8°03′05.32″E
Altitudine,177 m s.l.m.
Superficie,"12,33 km²"
Abitanti,2 345[1] (30-11-2025)
Densità,"190,19 ab./km²"
Frazioni,"Bricchetto, Casa Are, Casa Mosso, Casa Ostino, Casa Porta, Montechiaro, Piana, Pomaretto, Praie, Punto Verde, Scallaro, Valentino, Valminore, Villa"
Comuni confinanti,"Brusasco, Lauriano, Monteu da Po, Moransengo-Tonengo (AT)"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001069
Cod. catastale,C369
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,cavagnolesi
Patrono,sant'Eusebio
Giorno festivo,1º agosto
Cartografia,Cartografia
Cavagnolo,Cavagnolo
Cavagnolo – MappaLocalizzazione del comune di Cavagnolo nella città metropolitana di Torino.,Cavagnolo – MappaLocalizzazione del comune di Cavagnolo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
