San Martino Canavese comune,San Martino Canavese comune.1
,
San Martino Canavese – VedutaLa torre-porta (ora campanaria),San Martino Canavese – VedutaLa torre-porta (ora campanaria)
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Silvana Rizzato (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°24′N 7°49′E
Altitudine,385 m s.l.m.
Superficie,"9,79 km²"
Abitanti,805[1] (30-11-2025)
Densità,"82,23 ab./km²"
Frazioni,"Pranzalito, Silva, Gatto, Cesare"
Comuni confinanti,"Agliè, Castellamonte, Colleretto Giacosa, Parella, Pavone Canavese, Perosa Canavese, Scarmagno, Torre Canavese, Vialfrè"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001247
Cod. catastale,H997
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 722 GG[3]"
Nome abitanti,sammartinesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
San Martino Canavese,San Martino Canavese
San Martino Canavese – MappaLocalizzazione del comune di San Martino Canavese nella città metropolitana di Torino.,San Martino Canavese – MappaLocalizzazione del comune di San Martino Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
