Venaria Reale comune,Venaria Reale comune.1
,
Venaria Reale – Veduta,Venaria Reale – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Fabio Giulivi (liste civiche + centro-destra) dal 21-9-2020
Territorio,Territorio
Coordinate,45°07′N 7°38′E
Altitudine,269 (max 327) m s.l.m.
Superficie,"20,44 km²"
Abitanti,31 901[1] (30-11-2025)
Densità,"1 560,71 ab./km²"
Frazioni,"Altessano[2], Medico Inferiore, Madonnina"
Comuni confinanti,"Borgaro Torinese, Caselle Torinese, Collegno, Druento, Robassomero, Torino, Pianezza"
Altre informazioni,Altre informazioni
Cod. postale,10078
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001292
Cod. catastale,L727
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 555 GG[4]"
Nome abitanti,venariesi
Patrono,sant'Eusebio
Giorno festivo,14 agosto
Motto,"(LA) Pacem cum inimicis bellum cum vitiis ""Pace con i nemici, guerra con i vizi"""
Cartografia,Cartografia
Venaria Reale,Venaria Reale
Venaria Reale – MappaLocalizzazione del comune di Venaria Reale nella città metropolitana di Torino.,Venaria Reale – MappaLocalizzazione del comune di Venaria Reale nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
