Piobesi Torinese comune,Piobesi Torinese comune.1
,
Piobesi Torinese – VedutaCorso Italia a Piobesi Torinese,Piobesi Torinese – VedutaCorso Italia a Piobesi Torinese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Fiorenzo Demichelis (lista civica Viviamo Piobesi) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°55′58.59″N 7°36′36.44″E
Altitudine,233 m s.l.m.
Superficie,"19,65 km²"
Abitanti,3 761[1] (30-11-2025)
Densità,"191,4 ab./km²"
Frazioni,Tetti Cavalloni
Comuni confinanti,"Candiolo, Carignano, Castagnole Piemonte, None, Vinovo"
Altre informazioni,Altre informazioni
Cod. postale,10040
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001193
Cod. catastale,G684
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 575 GG[3]"
Nome abitanti,piobesini
Patrono,santa Maura
Cartografia,Cartografia
Piobesi Torinese,Piobesi Torinese
Piobesi Torinese – MappaLocalizzazione del comune di Piobesi Torinese nella città metropolitana di Torino.,Piobesi Torinese – MappaLocalizzazione del comune di Piobesi Torinese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
