Sauze d'Oulx comune,Sauze d'Oulx comune.1
,
"Sauze d'Oulx – VedutaSauze, veduta del borgo antico verso la parrocchiale","Sauze d'Oulx – VedutaSauze, veduta del borgo antico verso la parrocchiale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Mauro Meneguzzi (lista civica di destra) dall'8-6-2009
Territorio,Territorio
Coordinate,45°01′36″N 6°51′29″E
Altitudine,1 510 (min 1 240 - max 2 498) m s.l.m.
Superficie,"17,31 km²"
Abitanti,1 019[1] (30-11-2025)
Densità,"58,87 ab./km²"
Frazioni,"Jouvenceaux, Les Clotes, Richardet, Sportinia, Tachier"
Comuni confinanti,"Oulx, Pragelato, Sestriere"
Altre informazioni,Altre informazioni
Cod. postale,10050
Prefisso,0122
Fuso orario,UTC+1
Codice ISTAT,001259
Cod. catastale,I466
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 617 GG[3]"
Nome abitanti,sauzini
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Sauze d'Oulx,Sauze d'Oulx
Sauze d'Oulx – MappaLocalizzazione del Comune di Sauze d'Oulx nella città metropolitana di Torino.,Sauze d'Oulx – MappaLocalizzazione del Comune di Sauze d'Oulx nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
