Loranzè comune,Loranzè comune.1
,
Loranzè – VedutaPanorama paese,Loranzè – VedutaPanorama paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Claudio Marchiori (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°26′29.97″N 7°48′45.78″E
Altitudine,243 m s.l.m.
Superficie,"4,19 km²"
Abitanti,1 208[1] (30-11-2025)
Densità,"288,31 ab./km²"
Comuni confinanti,"Colleretto Giacosa, Fiorano Canavese, Parella, Salerano Canavese, Samone, Val di Chy"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001137
Cod. catastale,E683
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 722 GG[3]"
Nome abitanti,loranzesi
Patrono,"san Lorenzo, San Firmino di Amiens"
Giorno festivo,25 settembre
Cartografia,Cartografia
Loranzè,Loranzè
Loranzè – MappaLocalizzazione del comune di Loranzè nella città metropolitana di Torino.,Loranzè – MappaLocalizzazione del comune di Loranzè nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
