Villarbasse comune,Villarbasse comune.1
,
Villarbasse – VedutaPanorama invernale del paese,Villarbasse – VedutaPanorama invernale del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Eugenio Aghemo (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°03′N 7°28′E
Altitudine,381 m s.l.m.
Superficie,"10,41 km²"
Abitanti,3 535[1] (30-11-2025)
Densità,"339,58 ab./km²"
Frazioni,"Corbiglia, Roncaglia"
Comuni confinanti,"Rosta, Rivoli, Rivalta di Torino, Bruino, Sangano, Reano"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001302
Cod. catastale,M002
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 925 GG[3]"
Nome abitanti,villarbassesi
Patrono,san Nazario
Giorno festivo,28 luglio
Cartografia,Cartografia
Villarbasse,Villarbasse
Villarbasse – MappaLocalizzazione del comune di Villarbasse nella città metropolitana di Torino.,Villarbasse – MappaLocalizzazione del comune di Villarbasse nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
