Alpignano comune,Alpignano comune.1
,
Alpignano – VedutaAlpignano dal Musinè,Alpignano – VedutaAlpignano dal Musinè
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,"Steven Giuseppe Palmieri (lista civica Alpignano Ecologica, Alpignano Solidale, Alpignano Futura) dal 6-10-2020"
Territorio,Territorio
Coordinate,45°05′44.61″N 7°31′31.45″E
Altitudine,314[1] m s.l.m.
Superficie,"11,92 km²"
Abitanti,16 495[2] (30-11-2025)
Densità,"1 383,81 ab./km²"
Frazioni,"Campagnola, Ferna, Grange Palmero, Maggiore, San Giacomo, Sassetto"
Comuni confinanti,"Caselette, Collegno, Pianezza, Rivoli, San Gillio, Val della Torre"
Altre informazioni,Altre informazioni
Cod. postale,10091
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001008
Cod. catastale,A222
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 825 GG[4]"
Nome abitanti,alpignanesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Alpignano,Alpignano
Alpignano – MappaLocalizzazione del comune di Alpignano nella città metropolitana di Torino.,Alpignano – MappaLocalizzazione del comune di Alpignano nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
