Valprato Soana comune,Valprato Soana comune.1
,
Valprato Soana – VedutaIl Municipio,Valprato Soana – VedutaIl Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Francesco Bozzato (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°31′N 7°33′E
Altitudine,1 113 (min 1 063 - max 3 308) m s.l.m.
Superficie,"71,85 km²"
Abitanti,87[1] (30-11-2025)
Densità,"1,21 ab./km²"
Frazioni,"Campiglia Soana, Piamprato Località: Chiesale, Andorina, Pianetto"
Comuni confinanti,"Champorcher (AO), Cogne (AO), Ronco Canavese, Traversella, Valchiusa"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001288
Cod. catastale,B510
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 961 GG[3]"
Nome abitanti,valpratesi
Patrono,san Silverio
Giorno festivo,penultima domenica di luglio
Cartografia,Cartografia
Valprato Soana,Valprato Soana
Valprato Soana – MappaLocalizzazione del Comune di Valprato Soana nella Città metropolitana di Torino.,Valprato Soana – MappaLocalizzazione del Comune di Valprato Soana nella Città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
