Nomaglio comune,Nomaglio comune.1
,
Nomaglio – VedutaFontana in pietra,Nomaglio – VedutaFontana in pietra
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Ellade Giacinta Peller (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°32′10.18″N 7°51′37.14″E
Altitudine,575 m s.l.m.
Superficie,"3,07 km²"
Abitanti,275[1] (30-11-2025)
Densità,"89,58 ab./km²"
Comuni confinanti,"Andrate, Borgofranco d'Ivrea, Settimo Vittone"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001167
Cod. catastale,F927
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 101 GG[3]"
Nome abitanti,nomagliesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Nomaglio,Nomaglio
Nomaglio – MappaLocalizzazione del comune di Nomaglio nella città metropolitana di Torino.,Nomaglio – MappaLocalizzazione del comune di Nomaglio nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
