Caselette comune,Caselette comune.1
,
Caselette – VedutaCaselette dalla costa della Croce (Musinè); in primo piano Sant'Abaco,Caselette – VedutaCaselette dalla costa della Croce (Musinè); in primo piano Sant'Abaco
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Pacifico Banchieri (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°06′17.09″N 7°28′50.94″E
Altitudine,350 (min 319 - max 1 150) m s.l.m.
Superficie,"14,31 km²"
Abitanti,3 026[1] (30-11-2025)
Densità,"211,46 ab./km²"
Frazioni,"Grange di Caselette, Grangiotto"
Comuni confinanti,"Almese, Alpignano, Avigliana, Buttigliera Alta, Rivoli, Rosta, Val della Torre"
Altre informazioni,Altre informazioni
Cod. postale,10040
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001062
Cod. catastale,B955
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 961 GG[3]"
Nome abitanti,caselettesi
Patrono,"san Giorgio; santi Mario, Marta, Audiface e Abaco"
Giorno festivo,"23 aprile, 19 gennaio"
Cartografia,Cartografia
Caselette,Caselette
Caselette – MappaLocalizzazione del comune di Caselette nella città metropolitana di Torino.,Caselette – MappaLocalizzazione del comune di Caselette nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
