Issiglio comune,Issiglio comune.1
,
Issiglio – Veduta,Issiglio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Sergio Pier Antonio Vigna (lista civica Insieme si può) dal 27-5-2019
Territorio,Territorio
Coordinate,45°26′48.96″N 7°45′07.64″E
Altitudine,485 m s.l.m.
Superficie,"5,5 km²"
Abitanti,433[1] (30-11-2025)
Densità,"78,73 ab./km²"
Comuni confinanti,"Castellamonte, Rueglio, Val di Chy, Vidracco, Vistrorio"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001124
Cod. catastale,E368
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 921 GG[3]"
Nome abitanti,issigliesi
Patrono,san Pietro in Vincoli
Giorno festivo,1º agosto
Cartografia,Cartografia
Issiglio,Issiglio
Issiglio – MappaLocalizzazione del comune di Issiglio nella città metropolitana di Torino.,Issiglio – MappaLocalizzazione del comune di Issiglio nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
