Rivoli comune,Rivoli comune.1
,
Rivoli – VedutaVeduta di Rivoli dal castello,Rivoli – VedutaVeduta di Rivoli dal castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Alessandro Errigo (PD) dal 24-6-2024
Territorio,Territorio
Coordinate,45°04′10.97″N 7°31′03.63″E
Altitudine,352 m s.l.m.
Superficie,"29,5 km²"
Abitanti,46 502[1] (30-11-2025)
Densità,"1 576,34 ab./km²"
Frazioni,"Borgo Nuovo, Bruere, Cascine Vica, Tetti Neirotti"
Comuni confinanti,"Alpignano, Caselette, Collegno, Grugliasco, Orbassano, Pianezza, Rivalta di Torino, Rosta, Torino, Villarbasse"
Altre informazioni,Altre informazioni
Cod. postale,10098
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001219
Cod. catastale,H355
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 939 GG[3]"
Nome abitanti,rivolesi
Patrono,Madonna della Stella e Antonio Neirotti
Giorno festivo,21 settembre
Cartografia,Cartografia
Rivoli,Rivoli
Rivoli – MappaLocalizzazione del comune di Rivoli nella città metropolitana di Torino.,Rivoli – MappaLocalizzazione del comune di Rivoli nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
