Parella comune,Parella comune.1
,
Parella – VedutaPaesaggio,Parella – VedutaPaesaggio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Roberto Antonio Balma (lista civica Noi per Parella) dal 22-9-2020
Territorio,Territorio
Coordinate,45°25′50.37″N 7°47′35.58″E
Altitudine,330 m s.l.m.
Superficie,"2,69 km²"
Abitanti,398[1] (30-11-2025)
Densità,"147,96 ab./km²"
Comuni confinanti,"Castellamonte, Colleretto Giacosa, Loranzè, Quagliuzzo, San Martino Canavese, Val di Chy"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001179
Cod. catastale,G330
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 638 GG[3]"
Nome abitanti,parellesi
Cartografia,Cartografia
Parella,Parella
Parella – MappaLocalizzazione del comune di Parella nella città metropolitana di Torino.,Parella – MappaLocalizzazione del comune di Parella nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
