Rorà comune,Rorà comune.1
,
Rorà – Veduta,Rorà – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Claudia Bertinat (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°47′32.77″N 7°11′57.05″E
Altitudine,967 m s.l.m.
Superficie,"12,41 km²"
Abitanti,217[1] (30-11-2025)
Densità,"17,49 ab./km²"
Frazioni,Ruà
Comuni confinanti,"Bagnolo Piemonte (CN), Luserna San Giovanni, Torre Pellice, Villar Pellice"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001226
Cod. catastale,H554
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 804 GG[3]"
Nome abitanti,rorenghi
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Rorà,Rorà
Rorà – MappaLocalizzazione del comune di Rorà nella città metropolitana di Torino.,Rorà – MappaLocalizzazione del comune di Rorà nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
