Lombriasco comune,Lombriasco comune.1
,
Lombriasco – VedutaVeduta invernale,Lombriasco – VedutaVeduta invernale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Daniele Ronco (lista civica SiAmo Lombriasco) dal 13-6-2022
Territorio,Territorio
Coordinate,44°50′27.39″N 7°38′09.33″E
Altitudine,241 m s.l.m.
Superficie,"7,21 km²"
Abitanti,1 086[1] (30-11-2025)
Densità,"150,62 ab./km²"
Frazioni,"Barra di Ferro[2], Castel Rainero[3], Campagnino[2], Fornace Bassa, Oltre Po, Spina"
Comuni confinanti,"Carignano, Carmagnola, Casalgrasso (CN), Osasio, Pancalieri, Racconigi (CN)"
Altre informazioni,Altre informazioni
Cod. postale,10040
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001136
Cod. catastale,E661
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 612 GG[5]"
Nome abitanti,lombriaschesi
Patrono,San Bartolomeo e San Secondo
Giorno festivo,prima domenica del mese di ottobre
Cartografia,Cartografia
Lombriasco,Lombriasco
Lombriasco – MappaLocalizzazione del comune di Lombriasco nella città metropolitana di Torino.,Lombriasco – MappaLocalizzazione del comune di Lombriasco nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
