Albiano d'Ivrea comune,Albiano d'Ivrea comune.1
,
Albiano d'Ivrea – VedutaPanorama,Albiano d'Ivrea – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Venerina Tezzon (lista civica Futuro insieme) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°25′58.65″N 7°57′02.24″E
Altitudine,230 m s.l.m.
Superficie,"11,73 km²"
Abitanti,1 636[1] (30-11-2025)
Densità,"139,47 ab./km²"
Comuni confinanti,"Azeglio, Bollengo, Caravino, Ivrea, Palazzo Canavese, Piverone, Vestignè"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001004
Cod. catastale,A157
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 706 GG[3]"
Nome abitanti,albianesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Albiano d'Ivrea,Albiano d'Ivrea
Albiano d'Ivrea – MappaLocalizzazione del comune di Albiano d'Ivrea nella città metropolitana di Torino.,Albiano d'Ivrea – MappaLocalizzazione del comune di Albiano d'Ivrea nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
