Scarmagno comune,Scarmagno comune.1
,
Scarmagno – VedutaLa chiesa parrocchiale,Scarmagno – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Adriano Grassino (lista civica Scarmagno da Vivere) dal 10-6-2018
Territorio,Territorio
Coordinate,45°23′N 7°50′E
Altitudine,318 (minima 230 massima 425) m s.l.m.
Superficie,"8,03 km²"
Abitanti,790[1] (30-11-2025)
Densità,"98,38 ab./km²"
Frazioni,"Bessolo, Masero"
Comuni confinanti,"Cuceglio, Mercenasco, Montalenghe, Perosa Canavese, Romano Canavese, San Martino Canavese, Vialfrè"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001261
Cod. catastale,I511
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 774 GG[3]"
Nome abitanti,scarmagnesi
Patrono,san Michele
Cartografia,Cartografia
Scarmagno,Scarmagno
Scarmagno – MappaLocalizzazione del comune di Scarmagno nella città metropolitana di Torino.,Scarmagno – MappaLocalizzazione del comune di Scarmagno nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
