Lemie comune,Lemie comune.1
,
Lemie – VedutaIl paese visto dalla cima Montù,Lemie – VedutaIl paese visto dalla cima Montù
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Città metropolitana di Torino
Amministrazione,Amministrazione
Sindaco,Daniele Gabriele (lista civica Insieme per Lemie) dal 4-10-2021
Territorio,Territorio
Coordinate,45°13′41.52″N 7°17′31.36″E
Altitudine,960[1] m s.l.m.
Superficie,"45,68 km²"
Abitanti,154[2] (30-11-2025)
Densità,"3,37 ab./km²"
Frazioni,"Chiampetto, Chiandusseglio, Chiot, Forno, Pian Saletta, Saletta, Villa di Lemie, Villaretti"
Comuni confinanti,"Ala di Stura, Balme, Condove, Mezzenile, Usseglio, Viù"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,0123
Fuso orario,UTC+1
Codice ISTAT,001131
Cod. catastale,E520
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[3]
Cl. climatica,"zona F, 3 789 GG[4]"
Nome abitanti,lemiesi
Patrono,san Michele
Cartografia,Cartografia
Lemie,Lemie
Lemie – MappaLocalizzazione del comune di Lemie nella città metropolitana di Torino.,Lemie – MappaLocalizzazione del comune di Lemie nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
