Maglione comune,Maglione comune.1
,
Maglione – VedutaIl municipio,Maglione – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Giovanni Chimenti (lista civica Insieme per Maglione) dal 10-06-2024
Territorio,Territorio
Coordinate,45°20′47.97″N 8°00′47.97″E
Altitudine,310 m s.l.m.
Superficie,"6,31 km²"
Abitanti,409[1] (30-11-2025)
Densità,"64,82 ab./km²"
Comuni confinanti,"Borgo d'Ale (VC), Borgomasino, Moncrivello (VC)"
Altre informazioni,Altre informazioni
Cod. postale,10030
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,001143
Cod. catastale,E817
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 819 GG[3]"
Nome abitanti,maglionesi
Patrono,san Maurizio
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Maglione,Maglione
Maglione – MappaLocalizzazione del comune di Maglione nella città metropolitana di Torino.,Maglione – MappaLocalizzazione del comune di Maglione nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
