Candia Canavese comune,Candia Canavese comune.1
,
Candia Canavese – VedutaPanorama del paese,Candia Canavese – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Mario Mottino (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°19′39.92″N 7°53′06.44″E
Altitudine,330 m s.l.m.
Superficie,"9,13 km²"
Abitanti,1 145[1] (30-11-2025)
Densità,"125,41 ab./km²"
Frazioni,"Cascine, Lido"
Comuni confinanti,"Barone Canavese, Caluso, Mazzè, Mercenasco, Strambino, Vische"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001050
Cod. catastale,B588
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 781 GG[3]"
Nome abitanti,candiesi
Patrono,san Michele arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Candia Canavese,Candia Canavese
Candia Canavese – MappaLocalizzazione del comune di Candia Canavese nella città metropolitana di Torino.,Candia Canavese – MappaLocalizzazione del comune di Candia Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
