Forno Canavese comune,Forno Canavese comune.1
,
Forno Canavese – VedutaPanorama dal mulino di Val,Forno Canavese – VedutaPanorama dal mulino di Val
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Alessandro Giacomo Gaudio (lista civica Ricostruire Forno insieme) dal 27-5-2019
Territorio,Territorio
Coordinate,45°20′43.27″N 7°35′27.65″E
Altitudine,Minima 380 - Massima 1 960 m s.l.m.
Superficie,"16,5 km²"
Abitanti,3 164[1] (30-11-2025)
Densità,"191,76 ab./km²"
Comuni confinanti,"Corio, Levone, Pratiglione, Rivara, Rocca Canavese, Sparone"
Altre informazioni,Altre informazioni
Cod. postale,10084
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001107
Cod. catastale,D725
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 231 GG[3]"
Nome abitanti,fornesi
Patrono,Assunzione di Maria
Giorno festivo,8 settembre
Motto,Virtus et labor ad solium ducunt
Cartografia,Cartografia
Forno Canavese,Forno Canavese
Forno Canavese – MappaLocalizzazione del comune di Forno Canavese nella città metropolitana di Torino.,Forno Canavese – MappaLocalizzazione del comune di Forno Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
