Ingria comune,Ingria comune.1
,
Ingria – VedutaIl municipio e la piazza,Ingria – VedutaIl municipio e la piazza
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Igor De Santis (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°27′59.28″N 7°34′15.3″E
Altitudine,"816 (min 619, max 2 720) m s.l.m."
Superficie,"14,75 km²"
Abitanti,45[1] (30-11-2025)
Densità,"3,05 ab./km²"
Frazioni,"Albaretto, Albera, Arcavut, Bech, Beirasso, Belvedere, Bettassa, Borgognone, Camprovardo, Cavagnole, Ciuccia, Fenoglia, Ghiaire, Mombianco, Monteu, Querio, Reverso, Rivoira, Salsa, Villanuova, Viretto"
Comuni confinanti,"Frassinetto, Pont Canavese, Ronco Canavese, Sparone, Traversella"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001121
Cod. catastale,E301
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 497 GG[3]"
Nome abitanti,ingriati
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Ingria,Ingria
Ingria – MappaLocalizzazione del comune di Ingria nella città metropolitana di Torino.,Ingria – MappaLocalizzazione del comune di Ingria nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
