Ceresole Reale comune,Ceresole Reale comune.1
,
Ceresole Reale – VedutaPanorama invernale dell'abitato con a lato il lago omonimo ghiacciato,Ceresole Reale – VedutaPanorama invernale dell'abitato con a lato il lago omonimo ghiacciato
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Alex Gioannini (Per Ceresole Reale) dal 27-5-2019
Territorio,Territorio
Coordinate,45°25′55.03″N 7°14′08.54″E
Altitudine,1 620 (min 1 270 - max 3 619) m s.l.m.
Superficie,"99,82 km²"
Abitanti,139[1] (30-11-2025)
Densità,"1,39 ab./km²"
Comuni confinanti,"Bonneval-sur-Arc (FR-73), Groscavallo, Noasca, Rhêmes-Notre-Dame (AO), Val-d'Isère (FR-73), Valsavarenche (AO)"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001073
Cod. catastale,C505
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 5 154 GG[3]"
Nome abitanti,"ceresolini in italiano, in francoprovenzale Les Birus"
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Ceresole Reale,Ceresole Reale
Ceresole Reale – MappaLocalizzazione del comune di Ceresole Reale nella città metropolitana di Torino.,Ceresole Reale – MappaLocalizzazione del comune di Ceresole Reale nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
