La Cassa comune,La Cassa comune.1
,
La Cassa – VedutaVeduta da Monte Bernard,La Cassa – VedutaVeduta da Monte Bernard
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Claudio Amateis (lista civica Indipendenti Democratici Per La Cassa) dal 10-6-2024
Territorio,Territorio
Coordinate,45°10′49.01″N 7°30′58.37″E
Altitudine,374 m s.l.m.
Superficie,"12,04 km²"
Abitanti,1 723[1] (30-11-2025)
Densità,"143,11 ab./km²"
Frazioni,"Mattodera, Regione Colverso, Regione Giordanino, Regione Pralungo, Truc di Miola"
Comuni confinanti,"Druento, Fiano, Givoletto, San Gillio, Varisella"
Altre informazioni,Altre informazioni
Cod. postale,10040
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001126
Cod. catastale,E394
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 915 GG[3]"
Nome abitanti,lacassesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
La Cassa,La Cassa
La Cassa – MappaLocalizzazione del comune della Cassa nella città metropolitana di Torino.,La Cassa – MappaLocalizzazione del comune della Cassa nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
